id,name,category,base_price,cost_price,current_price,stock_quantity,popularity_score,created_at
bf510978-425c-4e2f-b4ee-1a1e61011389,OnePlus Nord CE4 5G Smartphone (128GB),Electronics,23822.32,18582.15,21916.46,221,0.04,2022-03-18
420b9f94-6098-4302-afa6-2ec9093f8267,boAt Rockerz 450 Bluetooth Wireless Headphones,Electronics,2776.67,882.22,1392.05,462,0.56,2022-04-19
222b328f-b6bf-444c-9463-f49a8f440adb,Samsung 43-inch Crystal 4K UHD Smart TV,Electronics,42662.47,27737.54,31994.19,353,0.7,2022-11-25
c19a2ed3-0577-4c6c-821d-e1ce0d0e2326,Noise ColorFit Pulse 3 Smartwatch (Bluetooth Calling),Electronics,5389.62,1185.95,1831.76,118,0.46,2023-03-21
d40ef758-8bd5-45f7-91ca-4e54bb3c02ad,Mi Power Bank 3i 20000mAh Fast Charging (18W),Electronics,2305.06,1257.88,1885.77,327,0.02,2022-06-30
fe643978-5f95-42ce-a5d2-c1e315a596f2,HP 15s Intel Core i5 12th Gen Laptop (16GB/512GB SSD),Electronics,60842.55,45381.8,51559.91,154,0.47,2024-08-04
6ab60c13-be3f-4b25-ae4e-89d750dba382,Realme Buds Air 5 ANC True Wireless Earbuds,Electronics,4777.0,2102.3,3152.49,453,0.54,2022-03-04
1ac45684-b9ac-4390-8ce2-3bb6f6ba4241,SanDisk Ultra 128GB MicroSDXC Memory Card,Electronics,1907.34,688.76,952.61,440,0.1,2025-12-19
d032273b-494c-4f06-97f4-d6d611479a19,Zebronics 2.1 Channel Bluetooth Soundbar with Subwoofer,Electronics,7023.05,2809.62,4012.74,156,0.73,2025-04-29
153aa701-869f-48a6-be63-84e5f05d105e,Logitech B170 Wireless Optical Mouse,Electronics,849.68,398.73,568.67,333,0.66,2025-03-18
32064b33-4be1-4ab7-8eff-3279f99bb356,Fire-Boltt Ninja Call Pro Plus 1.83 Smartwatch,Electronics,8165.1,1019.74,1325.97,112,0.3,2022-07-17
74b78229-10b6-451d-894d-b53b53a3ec65,Sony WH-CH520 Wireless Bluetooth Headphones (50hr Battery),Electronics,4642.39,2884.05,3712.05,339,0.57,2022-07-21
3527f08e-a57e-4d91-be68-b8ce16bf754c,"Apple iPhone 15 (128 GB, Black)",Electronics,79793.16,61917.09,69905.39,410,0.56,2025-05-21
64d1384f-69fd-4622-8300-57de2e054d95,Xiaomi Smart Band 8 with AMOLED Display,Electronics,4289.27,1930.65,2680.39,187,0.2,2021-11-12
c87729bb-0b29-4f78-a7a4-dc5ee1b2c70e,TP-Link Archer C6 AC1200 Dual Band Gigabit Wi-Fi Router,Electronics,3248.25,1485.34,2041.41,256,0.69,2023-07-04
cc432fbe-eb50-4757-a9df-a26235191136,Levi's Men Slim Fit Washed Denim Jeans,Fashion & Apparel,3774.45,1510.21,2372.11,142,0.57,2023-09-09
1224dcb9-7363-43d1-a356-53ec4c76eeb2,BIBA Women Printed A-Line Cotton Kurti,Fashion & Apparel,2674.24,802.59,1390.09,74,0.58,2023-01-01
4d655a53-f024-4b40-8649-104f76d856ef,Puma Men Smashic Casual White Sneakers,Fashion & Apparel,4229.46,1504.14,2114.26,239,0.07,2021-11-09
1969fa03-7785-4618-b0d3-3bd4c05f55f9,FabIndia Men Handloom Cotton Kurta,Fashion & Apparel,2084.19,758.23,1420.73,129,0.02,2023-12-27
549117c0-70d2-486c-bb17-93cf125a8912,Roadster Men Graphic Printed Pure Cotton T-Shirt,Fashion & Apparel,1006.81,282.19,502.9,403,0.8,2025-06-18
d4b56b16-f7b1-48ec-a302-ef296defa4bf,Allen Solly Men Regular Fit Formal Cotton Shirt,Fashion & Apparel,2302.87,890.15,1465.08,252,0.66,2024-08-17
f73def59-7ec1-44b8-bc45-9de4755e7792,W for Woman Solid Rayon Straight Palazzos,Fashion & Apparel,1618.64,476.35,856.48,109,0.45,2024-01-19
7a43dcb5-f661-4eee-bba6-d123bb2d7310,Fastrack Casual Daypack Backpack (28 Litres),Fashion & Apparel,1997.37,650.77,1000.19,464,0.72,2026-05-27
6b21e6a5-1027-44b6-a1dd-b1ec49d31f35,Aurelia Women Embroidered Chanderi Silk Dupatta,Fashion & Apparel,1481.31,415.04,740.16,169,0.89,2022-05-18
3f29e0e3-6773-4cd1-bc3d-05df56183ad9,Red Tape Men Memory Foam Running Shoes,Fashion & Apparel,5470.03,1193.68,1640.31,85,0.02,2023-05-03
ad1f41c0-f53c-435d-b404-a2fe4e233ed0,Janasya Women Poly Silk Kurta with Pant Set,Fashion & Apparel,3027.1,851.64,1323.83,177,0.54,2024-08-22
3027d2a8-4084-4a13-b912-a1e3c36d2415,Peter England Men Classic Fit Chinos Trousers,Fashion & Apparel,1902.26,713.7,1140.98,275,0.31,2022-12-19
fd4b61ad-34a5-4df8-aeb2-885c74b98c68,Manyavar Men Jacquard Silk Festive Kurta Pajama Set,Fashion & Apparel,4938.23,1876.9,3456.46,106,0.15,2022-03-22
8193f07b-ad50-4756-8756-e3ac592ec4c4,Prestige Iris 750W Mixer Grinder (3 Stainless Steel Jars),Home & Kitchen,4571.13,2135.57,2948.1,184,0.32,2024-01-16
2258402e-1684-4d4c-b781-68dea8bc536f,Milton Thermosteel Duo 1000ml Insulated Water Bottle,Home & Kitchen,1157.35,532.67,822.25,447,0.07,2023-10-19
1f11267e-a25a-4d12-a3d9-33aaa886755d,Pigeon Non-Stick 3-Piece Kitchen Cookware Set,Home & Kitchen,2424.28,860.39,1213.66,448,0.67,2022-01-30
664fe812-aa0e-4874-9870-b84e29797e7a,Kent Grand RO+UV Water Purifier with Mineral ROTM (8L),Home & Kitchen,20959.3,12360.62,15584.05,281,0.05,2023-11-01
8f810e22-2355-4472-934e-928dfb262b68,Solimo Queen Size 100% Cotton Floral Bedsheet with 2 Pillows,Home & Kitchen,1714.0,571.33,856.05,344,0.72,2026-03-23
481e54b7-6d4f-4f98-8884-52eeb5094235,Philips Daily Collection 1.5L Electric Kettle (HD9306),Home & Kitchen,2851.28,1163.79,1797.52,393,0.22,2025-09-25
663550d4-2ba3-48f6-9c16-bdf8a1489f11,Bajaj New Shakti 15L Storage Water Heater (Geyser),Home & Kitchen,9920.02,4785.54,5980.93,61,0.14,2023-03-30
0c574cc0-f7b5-4da0-aaa0-6be742dec6cd,Hawkins Contura 3L Hard Anodised Pressure Cooker,Home & Kitchen,2305.15,1340.2,1875.21,219,0.81,2024-05-01
24b2a7fb-1e09-4699-8521-c9b92276e74f,Cello Opalware Dazzle Tropical Lagoon Dinner Set (18 Pcs),Home & Kitchen,2438.95,928.66,1367.57,84,0.81,2024-07-12
9d0f81b6-1eb7-45af-b116-d964c38b301d,Story@Home Blackout 7ft Eyelet Door Curtains (Set of 2),Home & Kitchen,1959.89,588.26,881.41,392,0.54,2024-02-19
fbd78605-855c-400f-a106-2b08b71fd5e6,Indian Polity by M. Laxmikanth (7th Edition),Books & Media,990.34,447.89,645.96,94,0.54,2024-05-13
d24ddc34-f07f-425c-a387-13f751844995,Atomic Habits by James Clear (Paperback),Books & Media,789.12,276.54,443.45,468,0.75,2022-06-18
abcd8b64-07ce-4d92-b713-86143971f45d,UPSC General Studies Paper 1 Manual by McGraw Hill,Books & Media,1475.38,661.38,1016.49,134,1.0,2026-07-25
91fb77ed-a612-4c77-a458-5350c7297b30,Rich Dad Poor Dad (English / Hindi Edition),Books & Media,493.69,178.08,295.82,78,0.23,2022-07-31
1f28e386-21d1-4d45-a7b8-0c0c312b519b,NCERT Complete Class 10 & 12 Science/Maths Set,Books & Media,1748.14,755.95,1227.48,301,0.3,2024-03-25
93dd4b7d-d8a5-4b31-958e-c35862c9e670,Word Power Made Easy by Norman Lewis,Books & Media,320.71,96.53,181.27,167,0.72,2025-07-13
d1854dc1-18c9-4830-bb40-67d4f703bed6,Ikigai: The Japanese Secret to a Long and Happy Life,Books & Media,548.42,189.45,319.08,63,0.08,2023-07-17
b915780b-dca1-4fe0-9d41-bb1eed101603,Quantitative Aptitude for Competitive Exams by R.S. Aggarwal,Books & Media,911.67,406.34,604.31,80,0.2,2025-02-27
7ff1dee9-fe1a-4ff6-a175-08dd9bf880ff,The Psychology of Money by Morgan Housel,Books & Media,493.2,177.91,285.64,52,0.17,2025-10-04
37ecd832-dde0-4208-adac-38aa16b841e4,Mamaearth Vitamin C Face Wash with Turmeric (150ml),Health & Beauty,372.39,130.66,260.4,482,0.62,2022-06-29
76f54a22-ebda-4d31-a61e-b298d7613933,Himalaya Purifying Neem Face Wash (400ml),Health & Beauty,452.64,191.71,318.44,113,0.32,2024-09-18
1fa92a73-ee85-460f-99ab-6de0b6c17fcd,Biotique Bio Kelp Protein Anti-Hair Fall Shampoo (650ml),Health & Beauty,571.14,203.29,357.21,80,0.11,2022-08-09
1179bbd5-6733-43fb-8828-c236947707b7,The Derma Co 10% Niacinamide Serum with Zinc (30ml),Health & Beauty,602.57,241.43,451.67,131,0.33,2024-07-19
f0e1dc90-af8a-407d-94e0-ac88ed7521df,Wow Skin Science Red Onion Black Seed Hair Oil (200ml),Health & Beauty,604.07,191.61,351.95,139,0.65,2024-07-16
027782ef-444d-485e-9393-ea15042f21c4,Minimalist 10% Vitamin C Serum for Glowing Skin (30ml),Health & Beauty,662.73,293.91,520.51,188,0.35,2025-03-07
f09a5064-6734-4fc9-afb2-7017aa97b41b,Nivea Soft Light Moisturizer Cream (300ml),Health & Beauty,539.48,225.6,377.64,356,0.92,2025-02-14
bdca8fe6-4b28-4c0d-bbe7-df8f75af8504,Dettol Original Liquid Handwash Refill Pouch (1500ml),Health & Beauty,338.16,155.03,241.26,272,1.0,2022-05-14
73cfea33-1c89-46fb-ba4c-3847c81ccfec,OnePlus Nord CE4 5G Smartphone (128GB) (Edition 2),Electronics,24131.94,18823.66,22201.31,87,0.67,2021-09-06
5786ea61-e554-4f65-b6b7-c3f4fd0a8927,boAt Rockerz 450 Bluetooth Wireless Headphones (Edition 2),Electronics,3019.73,959.45,1513.9,345,0.43,2022-12-13
7b5ee361-759b-4a1c-8cbe-97b89b90a54f,Samsung 43-inch Crystal 4K UHD Smart TV (Edition 2),Electronics,39867.43,25920.31,29898.08,164,0.21,2026-08-06
a98f12bd-957d-4077-ae21-d0fdfc83e87e,Noise ColorFit Pulse 3 Smartwatch (Bluetooth Calling) (Edition 2),Electronics,4865.61,1070.65,1653.67,158,0.21,2024-06-03
150768b7-82b4-4961-8929-d2ff2adc8035,Mi Power Bank 3i 20000mAh Fast Charging (18W) (Edition 2),Electronics,2274.6,1241.25,1860.85,171,0.38,2024-01-07
311dac97-650a-4d34-a3a1-e66a8ac4384b,HP 15s Intel Core i5 12th Gen Laptop (16GB/512GB SSD) (Edition 2),Electronics,56118.04,41857.84,47556.21,97,0.79,2024-08-11
3868f824-bfd8-43dc-9d6d-1b95e3811aa7,Realme Buds Air 5 ANC True Wireless Earbuds (Edition 2),Electronics,5331.84,2346.48,3518.65,181,0.15,2022-02-08
c95876ff-0236-4bdc-b0dd-808f6611f85e,SanDisk Ultra 128GB MicroSDXC Memory Card (Edition 2),Electronics,1657.2,598.43,827.68,411,0.57,2024-10-08
c9bfdc2b-ac03-4730-8137-42035b88aaea,Zebronics 2.1 Channel Bluetooth Soundbar with Subwoofer (Edition 2),Electronics,7404.0,2962.02,4230.4,192,0.72,2023-05-17
0c2c12c9-4433-4a88-9241-e78eae060a16,Logitech B170 Wireless Optical Mouse (Edition 2),Electronics,927.99,435.48,621.08,481,0.8,2025-04-09
9e031026-947d-4b91-aa84-1671535cafbe,Fire-Boltt Ninja Call Pro Plus 1.83 Smartwatch (Edition 2),Electronics,7838.07,978.9,1272.87,227,0.38,2022-12-18
bb25e039-8d91-43c9-bb65-ba840cda9540,Sony WH-CH520 Wireless Bluetooth Headphones (50hr Battery) (Edition 2),Electronics,4913.8,3052.66,3929.07,421,0.02,2023-06-23
5e9a4ed5-7cff-4ac0-bb88-a5a34193e174,"Apple iPhone 15 (128 GB, Black) (Edition 2)",Electronics,78823.85,61164.94,69056.2,442,0.3,2026-02-08
2a453898-f1a1-45bf-8661-ee444eea9f84,Xiaomi Smart Band 8 with AMOLED Display (Edition 2),Electronics,3931.59,1769.66,2456.88,138,0.11,2024-09-01
7ee4cf4a-b359-4cba-9b47-455b65638cba,TP-Link Archer C6 AC1200 Dual Band Gigabit Wi-Fi Router (Edition 2),Electronics,3634.59,1662.0,2284.21,353,0.96,2023-08-12
8097f01f-d432-45af-9e66-d5ccfd2bc5ba,Levi's Men Slim Fit Washed Denim Jeans (Edition 2),Fashion & Apparel,3434.08,1374.02,2158.2,262,0.51,2024-08-03
663654e6-d5c3-4e54-8c51-0a1898edd362,BIBA Women Printed A-Line Cotton Kurti (Edition 2),Fashion & Apparel,2422.16,726.94,1259.06,161,0.46,2021-11-04
aaf74c9c-306a-4e12-a320-81f5f6921883,Puma Men Smashic Casual White Sneakers (Edition 2),Fashion & Apparel,4849.94,1724.81,2424.43,117,0.37,2023-04-24
