id,customer_id,product_id,quantity,price_paid,discount_applied,coupon_code,order_timestamp,payment_method,is_flash_sale
d48b48d2-22f1-4c22-b604-216822a502cf,462dd8d5-b637-4724-b95f-8bfe1bce73e0,5f03889a-7d5c-4f17-ae3d-4dd8b2cbf885,2,560.6,0.0,two52g2x,2022-06-10T15:56:45.000000,COD,False
b8c8b317-9809-4bfa-b96d-2d2d54549614,462dd8d5-b637-4724-b95f-8bfe1bce73e0,cd972929-fe99-4834-86c9-d93640b31d32,2,1843.56,0.0,cdsrskvn,2025-07-11T12:02:05.000000,UPI,False
5c6d7041-f938-4fe1-88b5-d0e104ead9ed,462dd8d5-b637-4724-b95f-8bfe1bce73e0,acfbec42-da58-45ed-bff4-a08a169ad6fa,3,4002.79,1000.7,21ivejt4s7m,2024-09-06T07:19:27.000000,Card,True
0b5406e0-761f-4d46-acca-bddf34c90776,7dcbcd5a-8aa0-42cf-b0ff-23e415a58430,d5fab55a-32c3-4b15-9246-be6bd694bea9,1,882.24,0.0,6qmj1im3p,2023-01-21T22:46:04.000000,Card,False
edafe702-5106-4d9c-80ab-ef9eaa6b3a29,7dcbcd5a-8aa0-42cf-b0ff-23e415a58430,93104698-cbf4-45da-b103-48ef94c5d3dc,2,580.98,0.0,kwqvzob0k,2024-01-28T14:51:01.000000,COD,False
48e94afc-a993-4188-8234-17e49402544c,0bb9206e-61be-49c8-bf68-d0aabb2435e9,1969fa03-7785-4618-b0d3-3bd4c05f55f9,3,4262.19,0.0,lnut9fji,2023-12-01T20:41:01.000000,Card,False
7f53c37e-f5b3-4d04-82e8-1f6044b737a5,0bb9206e-61be-49c8-bf68-d0aabb2435e9,5f03889a-7d5c-4f17-ae3d-4dd8b2cbf885,3,840.9,0.0,mvadhf678,2021-12-31T21:03:54.000000,COD,False
53c5fac5-55fc-48c4-b1cf-fec3b57dc2bf,0bb9206e-61be-49c8-bf68-d0aabb2435e9,5bf77475-fb98-44a8-aa59-51b0240c9bdf,2,2153.76,0.0,egdpy5zdwo,2022-09-26T12:01:36.000000,Card,False
101c2794-3abe-457a-8cf9-03006ee79603,0bb9206e-61be-49c8-bf68-d0aabb2435e9,16474579-362e-4d95-a2de-577a8b6e0674,1,331.56,17.45,muxa56gmy,2026-07-15T11:31:48.000000,COD,True
07d88398-37c1-4b12-a33b-d14c4d2ade3b,0bb9206e-61be-49c8-bf68-d0aabb2435e9,7a43dcb5-f661-4eee-bba6-d123bb2d7310,1,1000.19,0.0,b6zeex2nud,2021-10-15T07:30:00.000000,Card,False
3024838d-79b7-4ddb-9a4a-bc1d94e8d566,d88e6c1e-bedb-41cc-9cfb-a2cd157007eb,9d0f81b6-1eb7-45af-b116-d964c38b301d,1,881.41,0.0,3rl1x2g9j4i,2024-03-03T00:11:25.000000,Wallet,True
76ba99dd-2966-4544-af51-7ad6f6181fd1,d88e6c1e-bedb-41cc-9cfb-a2cd157007eb,420d545d-a880-4058-b68e-00c27f141d3c,1,3230.25,170.01,zfgh30fff,2025-02-02T20:24:07.000000,COD,True
