id,order_id,is_fraud,fraud_type
8548eb75-53e1-4b29-a219-114360d7e6d7,2073d99e-fb5b-471b-9e12-39024c1bee03,false,bot_purchase
c623e870-5967-48b7-ac48-d5dfc63435ac,460a1502-817d-4cd3-96ff-5eab36087b89,true,fake_account
df25653c-ea62-44c2-ba21-f4c93c24f429,2af1d12f-6748-43e6-9fff-e0fe2341df1b,false,fake_account
9ec2ae2d-f180-4637-ac7a-94862b6fb91a,c8ae687b-c44a-489b-88f3-3a34a68072f3,false,none
36af6008-eb5c-4c22-ad5d-8014b85e382f,327a140b-b079-4b5a-84da-0a81e50ca9ae,false,fake_account
b5b6c0ed-f499-441a-93d4-a8e335579b9d,8a2b3af1-3326-443a-a052-486822bbb565,true,fake_account
86a2b8e4-6be9-43ab-9248-63dd88e48695,fe72fe4c-96b3-4146-9591-0c84925a65ce,false,fake_account
e2ae775d-9ea0-48b0-b34b-4b512f5b4c66,afac565b-5684-4ac2-b99a-1b5038ecc1a8,true,fake_account
74bbc443-a205-4988-ad0e-e9fbe0309dec,fc13b2a6-277e-40e7-94a3-cc9663303d46,false,coupon_abuse
cebceb09-e665-42c9-96de-6a6c487e6a25,f2fb8427-8fc3-4e55-a63b-f0c755518879,false,coupon_abuse
2bf463f6-e8be-48a3-b5c2-7a344e516a96,e12d716a-4f5d-4127-bb38-cb4140b6a8ed,true,bot_purchase
04eca098-e276-4944-ac73-c7ca22b12569,0ea747ae-af32-4d08-8e00-027d4efbf105,false,fake_account
37511441-f79a-4b1d-b198-968717e22bd6,fa0ef4d2-7db3-4c59-80c4-8f87556f9403,false,bot_purchase
d7f93825-9916-4cc7-80d4-0c5531c8ee13,c17f5fd8-ebc8-4dcd-ba8c-05082b5fff84,false,none
b544917e-afb7-400e-aa66-13b694ece222,004e2f5e-0041-4525-86dd-759438b3c37a,true,bot_purchase
f5dde960-dccd-441b-9772-d4c6826e4596,6b6bcd80-1642-4045-9c0b-e6548a428432,false,none
b905f5de-96ab-4cf5-944f-af2fac0a9e12,995494c6-2c4e-4127-bd71-c7f9086d1d10,true,bot_purchase
87d8d445-193c-4077-8153-b99488fe7851,b21939e3-7b5e-4b17-bb0d-b3ca49237853,false,none
9041e922-653b-4fae-96d1-3bf4673750e9,2231a8e5-4523-418e-a2f1-0226c7f288b1,true,coupon_abuse
ca9e88ed-ca3f-470a-bbc4-9aa463ef4106,8189fb2f-21bc-460c-a90e-74e049def88f,true,bot_purchase
21ee156d-622a-4a7e-a45b-ed5b942854da,bb5851db-7e75-4f59-a51b-0e265b1c203a,true,bot_purchase
60bf8514-164e-41d3-ba88-92edb7030aa5,84dd1f44-d9d0-4d5b-badf-2472811f4e1a,false,bot_purchase
154e38d0-605e-4ca7-8814-2d0c07bdc938,af6a105c-135c-4e91-9f9a-c6f8ea3d5805,true,none
eb8cf0e6-d1a2-422f-abe2-24686c50759a,6a1a0391-fe93-48db-9dc9-95a250870a3c,true,bot_purchase
3abb42a8-a686-431e-92f6-d06140e5fd56,5aa91dc0-dfcc-4905-b218-50c43642e2d9,true,fake_account
93f99085-7347-4aac-a42b-d4d22418d555,7f5a5a47-2a30-413f-b1c8-9f8c799c6af5,false,none
77924eeb-7309-4f3b-9229-0ee13c34757c,6e1d6cc8-85b3-4089-ac67-c6e0d1995d2f,false,none
f6c5b756-f6a8-4ed1-ae12-57f90f082b2b,1b631911-cb5f-4f6a-9b49-846ade4363c4,true,coupon_abuse
43a78e0a-d851-4b0a-beaf-4c3ff1b4d419,8468acae-71fd-4ce1-8157-9cb30ba23ac4,true,coupon_abuse
e49118be-88a0-4c1c-b577-bd72e6436859,f112e8d4-a960-49d1-a2c1-4b184cb78930,false,bot_purchase
041737f2-c553-4cc7-b017-b6ab13be105a,b1b4f318-2af1-47f0-8f02-dd67aad85a39,true,fake_account
a5964bf5-c992-4b64-b4d2-228baaa2f35d,adbbb532-94f0-409c-a27d-23673f0886b0,true,none
17ef86ed-ca04-49eb-83b7-8657ae38e6a2,a55b7703-87a9-418b-b270-d2c77b607ece,false,coupon_abuse
a34f10a4-f9a0-4359-8d62-25721837387c,fbd94162-f1c9-42a8-be5d-a0584613439f,false,none
eb8f3b7e-06ce-4e8a-9c64-bf254697492d,4ac162cc-2983-431c-8bf0-df61feb721e5,true,none
b05a7573-6d09-47a1-acd7-eb1456b9788e,43b6235a-4f1b-4d1a-91cf-abdef1171383,true,bot_purchase
c63f9faa-ac59-4a6b-a5f9-114c30a7398f,a6c01052-5832-4408-9053-81bef1aabd97,true,bot_purchase
af977866-a116-495b-919b-6845eabb3f00,cc168c4a-d2e0-4e61-b6dd-82a731475b9b,true,bot_purchase
ba796ac5-49cb-4a70-a940-cdfa7e875de1,5ac8c718-fa20-487d-8a52-14971c272b8f,true,none
b03a0cb5-090b-4f2e-892d-1e4cf87557db,a111ba16-9fe3-4d00-b255-d07e3028da5f,true,none
241e3226-2d7e-4527-a802-5aad33bc9830,bd8ff9d6-fda3-45cf-ad70-3da3eba4c34d,false,coupon_abuse
65b38f3a-e16a-47d6-8040-80703556a3f4,7a5036e4-480d-41ec-b275-b1e32096d760,true,coupon_abuse
a330cfbf-c8d5-4913-a13b-c091bb7d1cd0,3a882fb1-6169-4f76-aabf-258e83ab96aa,false,none
d79ce1e2-e288-466e-ae36-7451be085d40,02e35262-f4ad-48da-ab1f-289252fb9943,true,bot_purchase
d8858a54-b638-4f1d-afe2-7a7940e175d5,b697e79b-f5b7-4de1-a943-edfea66f0b40,false,coupon_abuse
66121d44-a152-477b-a3da-38dfd22ace4d,6feaae15-98ed-477d-80b3-9ff815e28ab6,true,coupon_abuse
5bdf1b22-819d-4c1f-97de-09f4cf506e18,2d7ebb17-1116-4947-9730-4e57b429c47d,true,bot_purchase
e8ab1ccc-df2f-4593-ac4e-506ac0f6c2c6,a86c62c9-a98d-43d8-9892-7f077f91b277,true,bot_purchase
274632ed-78b9-463c-9366-bce7495e26af,d3b25beb-0e61-4e58-8ad8-d500a38c43ef,true,coupon_abuse
7961371a-e6af-4dd5-83f5-5bad875e269b,bdbe2900-0a07-40d5-b166-3fc82a71e55c,true,coupon_abuse
63d305d3-a9fd-4b93-9b53-af995de377fd,7cb748b8-6339-4436-8122-9a2b24d27921,true,none
441501bd-6449-4bc6-831c-38cd9e5bb137,27ef1cc9-9da3-4c05-b2a8-925ca1625b9d,true,fake_account
11289a44-fea1-4881-9964-cbc642c5e59f,45be2241-0e34-4ca4-990f-1edb319595ed,true,fake_account
7f18a09f-f938-4b07-a797-924ac4f9992c,071ed273-aa91-4d35-9816-72c42641a544,true,coupon_abuse
f35379dc-dfaf-4dd1-ad0f-11c9258329ae,fed5c23d-a4a0-4ae4-bf80-cc7cd4b566b4,false,coupon_abuse
2e96669b-ee79-424d-b0c0-81b71b4bf462,890198f4-3d20-4cd4-b5d2-93c3e283815f,false,fake_account
6ddee366-1829-48ca-ac24-ddcde985f0f9,0b8d7947-f4ed-4623-88a1-953ccebff041,false,coupon_abuse
903587a6-3f1e-4bda-90ac-dcb69e2fc43a,93b94a0d-3f4d-4002-a2ef-41619f254a89,true,fake_account
0b4dc501-2acc-4507-b9c9-617aa2eb9213,9eeb7055-3d91-40c0-a8bf-76abcbd5edd1,false,bot_purchase
6580033a-3874-48b6-84a6-069b9a7f5651,ac538149-4406-4ecc-97eb-54e9168cf3b9,false,fake_account
9e4b1de8-f646-45f3-abc0-5df8fca58029,e381cfc4-0826-489d-b609-dcef21ede733,false,bot_purchase
163b0690-c0a1-43b8-80f1-d1c1c79c3fb9,e2c45575-168d-4e40-bf92-cdd604da04f3,true,coupon_abuse
399160e9-1174-4303-ad68-44da9b447ca9,95d9524e-dbb1-46ce-9393-66ab06ce5407,true,fake_account
e5f951d8-0f7b-4cb5-b89c-414f1855e475,a73cd3aa-69e0-4854-a396-57889448375a,true,bot_purchase
871b68f0-7d03-4b0a-a359-eed87b81af60,bec8910e-bc4f-4630-a6fe-124d0f429c99,true,none
98f43efc-1a7f-4ba5-85e5-1369ebbb3846,39d9851c-b0bf-404b-9669-a2948319ebc9,true,fake_account
562f114b-afc1-499f-a4fa-c9b6302368a4,19783bd6-0fb3-469b-9289-d8a01d2150bd,true,fake_account
216e6daa-14aa-4736-9838-ccd028d5df26,d7eca296-513b-4bf9-94d5-c56b683a7ffb,true,none
165f1611-2ca2-4c90-9962-3a837b779f8a,6d8206ab-0e4c-481e-aca8-8536953dcfec,true,coupon_abuse
68f5167f-0b75-4a98-b1e6-e5d5871758a0,596dab50-d924-43f6-9647-1e095d7e898c,false,fake_account
62c9e5a5-9138-47cb-9bba-972a3fd61bd8,2b131c4a-f71c-4461-a1b6-20062a49681a,false,fake_account
d832e6c1-3107-49b2-a2fd-3a41087da01f,efa8dea6-0013-41cb-84c4-af77197f9e9b,true,coupon_abuse
96096154-7489-475f-b192-6069a2cfd65e,95bf8c8b-3eec-400c-8d16-37867ba673e8,false,bot_purchase
70e818e0-11ca-42f5-acd0-ceb033e05a26,fa0ef4d2-7db3-4c59-80c4-8f87556f9403,true,coupon_abuse
b9728a48-c9bb-4f03-949b-42a44ff541c1,8267ea6f-6a3f-4dc9-a351-8f98336d0dae,true,bot_purchase
e5c43491-4b78-4b1f-9836-01ed869c982f,6e31c755-ee2f-4ee0-b474-5b00d23a364d,false,bot_purchase
b12f4a3d-6854-4b54-bf6d-234e40d0e5c7,91d7b810-dc00-46a4-9ac5-9cff1aa79962,true,none
298c4704-4f5e-46ea-9719-b0fc07516d9d,da017d33-8a60-45f1-a583-ce81a38e4c2f,false,none
4807ce10-af6a-4129-a795-1e2b2fe4dd5c,245e17c6-0748-463f-8382-5cb1469dbc46,false,fake_account
89a2673d-4ae5-4796-a6e9-5c0963d7aef0,fb1223bd-2020-4158-a12f-9174189e8381,false,none
7c59a87b-a9c9-4827-9174-d7c1997d3554,827f0199-3263-4f66-b6d8-5aad68cec376,false,none
56eab5a6-ddbd-4cb9-9751-7326a208f595,bb93fe22-67e9-493d-83b6-0da186edcbc2,false,fake_account
69e5bf45-69a0-4c0d-8870-9d9bd3308ce1,ae600bab-f905-48f1-a48f-83fcd00bfc40,true,bot_purchase
1e2e6371-1bec-467a-b7ca-28e0527d7447,f3bbd125-b053-4cd2-8be0-28f12ce4db1b,false,bot_purchase
0a074ecc-da13-48d9-899f-c64d2ad98220,d0515dd2-e5d1-458e-88a2-84e4a44a33dc,true,bot_purchase
4016e771-91dd-40ae-86e4-331eeb087452,99b36e03-b262-472a-a1eb-2f8f2afe6719,true,bot_purchase
e3897588-598d-4a4d-aaed-20cb4ec68881,db12bc18-2a83-4ec7-8111-b680638227bf,false,none
bf2a4620-2170-4371-ba8d-677cd74e50b7,780cf080-337e-4fe5-9a67-389002efbae3,false,fake_account
5397822c-8bf9-4a70-8dff-9fc9bd55e5e6,e1ca49dd-3b54-4b29-aeba-c5e40e2e006f,true,bot_purchase
d788f4ed-6b4f-4fe9-b9b1-ad853cdfd456,8a7f1e2a-6e88-4f0c-b515-f3f6aac89871,false,fake_account
